time,methane_concentration,light_intensity,absorption_peak,relativity,pcb_temperature,laser_temperature,tec_current,laser_housing_temperature,SNR,status,ver,err_code,flight_status,longitude,latitude,altitude,relative_altitude,home_distance,speed,dis_code,distance,dest_longitude,dest_latitude,uav_pitch,uav_roll,uav_yaw,gimbal_pitch,gimbal_roll,gimbal_yaw,camera_focal_length,camera_zoom,file_name
2026-03-10_00:55:57:164,0,46,763,993,32,24,146,26,0,0,19,0,2,-75.6987850,45.3853646,  31.6,   0.0,0.0, 0.1,0, 8.3,-75.6987957,45.3854389,-2.5,-2.0,-8.8,-0.6,-2.0,-5.8,8,8,
2026-03-10_00:55:57:264,0,42,763,993,32,24,148,26,5,0,19,0,2,-75.6987849,45.3853646,  31.6,   0.0,0.0, 0.1,0, 8.3,-75.6987958,45.3854388,-1.8,-2.2,-8.8,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:55:57:364,0,41,763,990,32,24,163,26,7,0,19,0,2,-75.6987848,45.3853646,  31.6,   0.0,0.0, 0.1,0, 8.3,-75.6987957,45.3854388,-1.6,-2.6,-8.8,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:55:57:464,0,44,763,994,32,24,163,26,0,0,19,0,2,-75.6987846,45.3853646,  31.6,   0.0,0.0, 0.1,0, 8.3,-75.6987955,45.3854388,-1.9,-2.8,-8.7,-0.7,-2.2,-5.9,8,8,
2026-03-10_00:55:57:564,0,44,763,994,32,24,163,26,0,0,19,0,2,-75.6987845,45.3853646,  31.6,   0.0,0.0, 0.1,0, 8.3,-75.6987952,45.3854388,-2.4,-3.1,-8.8,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:55:57:664,0,40,763,994,32,24,142,26,5,0,19,0,2,-75.6987844,45.3853646,  32.1,   0.6,0.1, 0.1,0,75.3,-75.6988814,45.3860383,-2.5,-3.3,-8.8,-0.7,-2.2,-5.8,8,8,
2026-03-10_00:55:57:764,0,40,763,993,32,24,149,26,1,0,19,0,2,-75.6987843,45.3853646,  32.1,   0.6,0.1, 0.1,0,75.3,-75.6988813,45.3860383,-2.3,-3.4,-8.8,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:55:57:864,0,39,763,994,32,24,163,26,4,0,19,0,2,-75.6987842,45.3853646,  32.1,   0.6,0.1, 0.0,0,75.3,-75.6988812,45.3860383,-2.0,-3.2,-8.8,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:55:57:964,0,40,763,992,32,24,163,26,0,0,19,0,2,-75.6987841,45.3853646,  32.1,   0.6,0.1, 0.0,0,75.3,-75.6988828,45.3860382,-1.8,-3.0,-8.7,-0.7,-2.2,-5.9,8,8,
2026-03-10_00:55:58:064,0,44,763,993,32,24,157,26,2,0,19,0,2,-75.6987841,45.3853646,  32.1,   0.6,0.1, 0.0,0,75.3,-75.6988828,45.3860382,-1.6,-2.9,-8.6,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:55:58:165,0,47,763,995,32,24,148,26,1,0,19,0,2,-75.6987841,45.3853646,  32.1,   0.6,0.1, 0.0,0,75.3,-75.6988827,45.3860382,-1.3,-2.9,-8.5,-0.7,-2.1,-5.9,8,8,
